<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VND,2019-05-09,9.1178,9.3479,9.0891,9.3479,814920
VND,2019-05-10,9.3479,9.463,9.3192,9.463,510970
VND,2019-05-13,9.463,9.5493,9.3767,9.4918,646560
VND,2019-05-14,9.4918,9.4918,9.3767,9.463,763610
VND,2019-05-15,9.463,9.5493,9.4055,9.4918,733070
VND,2019-05-16,9.4918,9.5205,9.3767,9.4342,194760
VND,2019-05-17,9.4342,9.6356,9.3767,9.6068,753170
VND,2019-05-20,9.6068,9.6643,9.463,9.578,438740
VND,2019-05-21,9.578,9.6931,9.4918,9.5493,144410
VND,2019-05-22,9.5493,9.6931,9.463,9.6068,701110
VND,2019-05-23,9.6068,9.6068,9.463,9.5205,177400
VND,2019-05-24,9.5205,9.5493,9.4055,9.4055,493090
VND,2019-05-27,9.4055,9.4055,9.3192,9.4055,146020
VND,2019-05-28,9.4055,9.4055,9.2904,9.3192,403420
VND,2019-05-29,9.3192,9.3192,9.1754,9.2904,216940
VND,2019-05-30,9.2904,9.2904,9.2329,9.2904,112450
VND,2019-05-31,9.2904,9.2904,8.9165,9.2041,366210
VND,2019-06-03,9.2041,9.5205,8.9165,8.9165,1285920
VND,2019-06-04,8.9165,9.0891,8.9165,9.0028,169890
VND,2019-06-05,9.0028,9.2041,9.0028,9.0316,50540
VND,2019-06-06,9.0316,9.0891,8.9165,9.0603,183970
VND,2019-06-07,9.0603,9.1754,9.0028,9.1466,136240
VND,2019-06-10,9.1466,9.2617,9.1178,9.1178,75250
VND,2019-06-11,9.1178,9.2041,9.0603,9.1754,177330
VND,2019-06-12,9.1754,9.2041,9.0891,9.2041,134090
VND,2019-06-13,9.2042,9.3229,9.1745,9.2635,215070
VND,2019-06-14,9.2635,9.3229,8.8479,9.2635,393330
VND,2019-06-17,9.2635,9.2932,9.026,9.026,589890
VND,2019-06-18,9.026,9.1745,8.8776,9.1745,227450
VND,2019-06-19,9.1745,9.1745,8.9666,9.1448,126060
VND,2019-06-20,9.1448,9.2635,9.1151,9.2339,158180
VND,2019-06-21,9.2339,9.2635,9.1448,9.2635,184820
VND,2019-06-24,9.2635,9.2932,9.1448,9.2339,214970
VND,2019-06-25,9.2339,9.2339,9.1448,9.2042,81230
VND,2019-06-26,9.2042,9.2042,9.0557,9.1745,97270
VND,2019-06-27,9.1745,9.1745,8.9666,9.1151,201970
VND,2019-06-28,9.1151,9.1448,8.9666,9.1448,213130
VND,2019-07-01,9.1448,9.2635,9.1151,9.1745,146570
VND,2019-07-02,9.1745,9.2042,9.026,9.026,322020
VND,2019-07-03,9.026,9.026,8.8479,8.9666,437010
VND,2019-07-04,8.9666,9.0854,8.8776,9.0557,588990
VND,2019-07-05,9.0557,9.0854,8.9073,9.0854,884910
VND,2019-07-08,9.0854,9.0854,8.9073,9.026,184990
VND,2019-07-09,9.026,9.026,8.8479,8.9963,284240
VND,2019-07-10,8.9963,9.026,8.9369,8.9666,324480
VND,2019-07-11,8.9666,9.026,8.9369,8.9963,396060
VND,2019-07-12,8.9963,9.0557,8.8776,8.8776,407930
